Year	Rating	Conference	Title	Author Names
2013	8.1	Comedy	About: Kate	"Carri•À_re, Justus;Eichhorn, Philipp;Fuhrmann, Arne;Gierer, Stefan;Gilow, Frank;Harting, Christian (I);Hochholdinger, Wilfried;Laux, Hans-Ulrich;Liechtenstein, Friedrich;Teitge, Sebastian;Trebs, Enno;von Blume, Patrick"
2014	8.5	Drama	AboveGround	"Alexander, Gabriel B.;Anderson, Rico E.;Barahona, Sam;Flores, Erik (III);Grant, Steven (IV);Hill, Victor;Johnson, Kemit K.J.;Marshall, Jim (XVI);McGlynn, Peter (II);Mueller, John (I);Philip, Darrell;Ruesga, Michael;Taylor, Ellis;Thomas, Darren Anthony;Williams, Kevin (LXXII)"
2013	8.2	Family	Absolute Genius with Dick & Dom	"McCourt, Richard;Wood, Dominic (II)"
1989	8.5	Comedy	Absolutely	"Baikie, Peter;Docherty, Jack;Hancock, Nick (I);Hunter, Moray;Kennedy, Gordon (I);Mullarkey, Neil (I);Sparkes, John (I)"
2012	8.1	Comedy	Acting Out	"Adams, Cary (II);Birney, Frank;Giddings, Justin;Hillard, Brennan;Lee, Ulysses (I);Moschitta Jr., John;Speer, David Ryan;Tolemy, David"
2012	8.7	Comedy	Acting for Action with Sung Kang	"Alvarez, Antonio (IV);Kang, Sung"
2001	8.6	Comedy	Adam & Joe's American Animation Adventure	"Buxton, Adam;Cornish, Joe"
2003	8.3	Comedy	Adam and Joe Go Tokyo	"Buxton, Adam;Cornish, Joe"
2013	8.1	Comedy	Addicts Anonymous	"Briggs, Jack (IV);Cade, David (I);Christian, Shawn (I);Gabriel, Lawrence;Hartley, Nate;Holeman, Rob;Kusnitz, Jared;Lambert, Jerry (II);Smith, Freddie (II);Walsh, Matt (I);Wood, Miles (I)"
2009	8.5	Comedy	Adik sa'yo	"Agustin, Marvin;Doo Jr., Dinky;Enriquez, Mang;Lapus, John;Mabesa, Tony;Marquez, Jeremy;Marquez, Joey;Moreno, German;Paras, Benjie;Pebanco, Jim;Ramos, Wendell;Ravales, Polo;Trillo, Dennis"
2011	8.6	Drama	Adini Feriha Koydum	"Akg•À_n, Yusuf;Aky•À_z, Harun;Altunkaya, Ufuk Tan;Andic, Furkan;Bilmaz, Cihan;Bozkurt, •À_inar;Carda, •À_zhan;Kaya, Onay;Kilic, Baris (I);Ko•À_, Emre;Okan, Cihan;Onuk, Murat;Selcuk, Melih;Tepe, Hakan;Ulusoy, •À_agatay;•À_ekmez, Metin;•À_zbay, Eray;•À_zcan, G•À_k•À_er;•À_zdemir, Doruk"
2013	8.3	Comedy	Adult Wednesday	"Cope, Hunter (I);Dax, Tim;Gage, Brad;Kennedy, Kiel;Schwartz, Eliot;Tauscher, Clint;Thompson, Nick (XXXII);Turton, Bob;Wagner, Andy (III);Wilson, Toby (II)"
