Conference,Year,Title,PaperType,Authors,Keywords
Vis,1993,Bridging the gap between visualization and data management: A simple visualization management system,C,Peter Kochevar;Zahid Ahmed;J. Shade;Colin Sharp,
Vis,1993,GRASPARC-A problem solving environment integrating computation and visualization,C,Ken Brodlie;A. Poon;Helen Wright;L. Brankin;G. Banecki;A. Gay,
Vis,1993,An environment for telecollaborative data exploration,C,Gudrun Klinker,
Vis,1993,HyperSlice - Visualization of Scalar Functions of Many Variables,C,Jarke J. van Wijk;Robert van Liere,
Vis,1993,Fine-grain visualization algorithms in dataflow environments,C,D. Song;Eric J. Golin,
Vis,1993,Developing modular application builders to exploit MIMD parallel,C,C. Thornborrow;A. J. S. Wilson;Chris Faigle,
Vis,1993,Virtual input devices for 3D systems,C,Taosong He;Arie E. Kaufman,"device unified interface, 3d input device, virtual input device, device information-base"
Vis,1993,InfoCrystal: A visual tool for information retrieval,C,Anselm Spoerri,"information visualization, visual query language, information retrieval, graphical user interface, human factors"
Vis,1993,Visual feedback in querying large databases,C,Daniel A. Keim;Hans-Peter Kriegel;Thomas Seidl 0001,
Vis,1993,"DIVIDE: Distributed visual display of the execution of asynchronous, distributed algorithms on loosely-coupled parallel processors",C,Tom M. Morrow;Sumit Ghosh,
Vis,1993,Performance visualization of parallel programs,C,Abdul Waheed;Diane T. Rover,
Vis,1993,Orientation maps: Techniques for visualizing rotations (A  Consumer's Guide),C,Bowen Alpern;Larry Carter;M. Grayson;C. Pelkie,
Vis,1993,Geometric optimization,C,Paul A. Hinker;Charles D. Hansen,
Vis,1993,Interactive visualization methods for four dimensions,C,Andrew J. Hanson;Robert A. Cross,
Vis,1993,Navigating large networks with hierarchies,C,Stephen G. Eick;Graham J. Wills,
Vis,1993,Dichromatic color representations for complex display systems,C,Mark S. Peercy;Lambertus Hesselink,
Vis,1993,Towards a texture naming system: Identifying relevant dimensions of texture,C,A. Ravishankar Rao;Gerald L. Lohse,
Vis,1993,Applying observations of work activity in designing prototype data analysis tools,C,R. R. Springmeyer,
Vis,1993,An architecture for rule-based visualization,C,Bernice E. Rogowitz;Lloyd Treinish,
Vis,1993,Implicit stream surfaces,C,Jarke J. van Wijk,
Vis,1993,Cloud tracing in convection-diffusion systems,C,Kwan-Liu Ma;Philip J. Smith,
Vis,1993,Texture splats for 3D scalar and vector field visualization,C,Roger Crawfis;Nelson L. Max,
Vis,1993,Geometric clipping using Boolean textures,C,W. E. Lorenson,
Vis,1993,Data shaders,C,Brian Corrie;Paul Mackerras,
Vis,1993,Spray rendering: Visualization using smart particles,C,Alex T. Pang;Kyle Smith,
Vis,1993,Interactive shading for surface and volume visualization on graphics workstations,C,Peter A. Fletcher;Philip K. Robertson,
Vis,1993,Fast analytical computation of Richard's smooth molecular surface,C,Amitabh Varshney;Frederick P. Brooks Jr.,
Vis,1993,Computer visualization of long genomic sequences,C,Dachywan Wu;James Roberge;Douglas J. Cork;Bao Gia Nguyen;Thom Grace,
Vis,1993,Visualization of acoustic lens data,C,A. J. Bladek,
Vis,1993,MRIVIEW: An interactive computational tool for investigation of brain structure and function,C,Douglas M. Ranken;John S. George,
Vis,1993,Visualization and modeling of geophysical data,C,G. Celniker;I. Chakravarty;J. Moorman,
Vis,1993,Visualization of oil reservoirs over a large range of scales as a catalyst for multi-disciplinary integration,C,S. Tyson;B. Williams,
Vis,1993,"Unsteady phenomena, hypersonic flows and co-operative flow visualization in aerospace research",C,Hans-Georg Pagendarm,
Vis,1993,"Towards interactive steering, visualization and animation of unsteady finite element simulations",C,G. David Kerlick;E. Kirby,
Vis,1993,Visualizing results of transient flow simulations,C,H. F. Mayer;B. Tabatabai,
Vis,1993,Fanal: A relational analysis and visualization package for high energy physics,C,H. Videau;P. Mora de Freitas,
Vis,1993,Non conventional methods for the visualization of events from high energy physics,C,Hans Drevermann;D. Kuhm;B. Nilsson,
Vis,1993,Visualization of stratospheric ozone depletion and the polar vortex,C,Lloyd Treinish,
Vis,1993,A climate simulation case study,C,P. C. Chen,
Vis,1993,Feature extraction for oceanographic data using a 3D edge operator,C,R. J. Moorehead;Z. Zhu,
Vis,1993,Enhancing reality in the operating room,C,William E. Lorensen;Harvey E. Cline;C. Nafis;D. Altobelli;L. Gleason,
Vis,1993,3D simulation of delivery,C,Jean-Daniel Boissonnat;Bernhard Geiger,
Vis,1993,The virtual restoration of the Visir tomb,C,Patrizia Palamidese;M. Betro;G. Muccioli,
Vis,1993,The quantum Coulomb three-body problem - Visualization of simulation results and numerical methods,C,D. I. Abramov;V. V. Gusev;Stanislav V. Klimenko;L. I. Ponomarev;W. Krueger;W. Renz,
Vis,1994,"Visualization and geographic information system integration: what are the needs and the requirements, if any?",M,Theresa-Marie Rhyne;William Ivey;Loey Knapp;Peter Kochevar;Tom Mace,
Vis,1994,"Validation, verification and evaluation",M,Samuel P. Uselton;Geoff Dorn;Charbel Farhat;Michael W. Vannier;Kim Esbensen;Al Globus,
Vis,1994,Visualizing data: is virtual reality the key?,M,Linda M. Stone;Thomas Erickson;Benjamin B. Bederson;Peter Rothman;Raymond Muzzy,
Vis,1994,Visualizing multidimensional (multivariate) data and relations,M,Alfred Inselberg;Georges G. Grinstein;Ted Mihalisin;Hans Hinterberger,
Vis,1994,Visualization in medicine: VIRTUAL reality or ACTUAL reality ?,M,Christian Roux;Jean-Louis Coatrieux;Jean-Louis Dillenseger;Elliot K. Fishman;Murray H. Loew;Hans-Peter Meinzer;Justin D. Pearlman,
Vis,1994,Challenges and opportunities in visualization for NASA's EOS Mission to Planet Earth,M,Mike E. Botts;Jon D. Dykstra;Lee S. Elson;Steven J. Goodman;Meemong Lee,
Vis,1994,Visualization of volcanic ash clouds,C,Mitchell Roth;Rick Guritz,
Vis,1994,Volume rendering of pool fire data,C,Holly E. Rushmeier;Anthony Hamins;Mun-Young Choi,
Vis,1994,Visualization of an electric power transmission system,C,Pramod M. Mahadev;Richard D. Christie,
Vis,1994,New techniques in the design of healthcare facilities,C,Tarek K. Alameldin;Mardelle Shepley,
Vis,1994,Visualization of 3D ultrasonic data,C,Georgios Sakas;Lars-Arne Schreyer;Marcus Grimm,
Vis,1994,Observing a volume rendered fetus within a pregnant patient,C,Andrei State;David T. Chen;Chris Tector;Andrew Brandt;Hong Chen;Ryutarou Ohbuchi;Michael Bajura;Henry Fuchs,
Vis,1994,Integrating spatial data display with virtual reconstruction,C,Philip Peterson;Brian Hayden;F. David Fracchia,
Vis,1994,Visualization of mesoscale flow features in ocean basins,C,Andreas Johannsen;Robert J. Moorhead II,
Vis,1994,Severe rainfall events in Northwestern Peru (visualization of scattered meteorological data),C,Lloyd Treinish,
Vis,1994,A case study on visualization for boundary value problems,C,GÃ¡bor Domokos;Randy C. Paffenroth,
Vis,1994,Visualization and data analysis in space and atmospheric science,C,A. Mankofsky;E. P. Szuszczewicz;P. Blanchard;C. Goodrich;D. McNabb;R. Kulkarni;D. Kamins,
Vis,1994,Tokamak plasma turbulence visualization,C,Scott E. Parker;Ravi Samtaney,"Computational geometry, object modeling, geometric modeling, volume modeling, implicit modeling, sweeping"
Vis,1994,XmdvTool: integrating multiple methods for visualizing multivariate data,C,Matthew O. Ward,
Vis,1994,An object oriented design for the visualization of multi-variable data objects,C,Jean-Marie Favre;James K. Hahn,
Vis,1994,A lattice model for data display,C,William L. Hibbard;Charles R. Dyer;Brian E. Paul,
Vis,1994,Mix&amp;Match: a construction kit for visualization,C,Alex T. Pang;Naim Alper,
Vis,1994,Nonpolygonal isosurface rendering for large volume datasets,C,James W. Durkin;John F. Hughes,
Vis,1994,Approximation of isosurface in the Marching Cube: ambiguity problem,C,Sergey V. Matveyev,
Vis,1994,Discretized Marching Cubes,C,Claudio Montani;Riccardo Scateni;Roberto Scopigno,
